artist,title,year
Myslovitz,Kraków,2000
Myslovitz,Acidland,2002
Ich Troje,Powiedz,2001
Ich Troje,A wszystko to bo ciebie kocham,1999
Paktofonika,Jestem Bogiem,2000
Łzy,Agnieszka już dawno tutaj nie mieszka,2000
Ania Dąbrowska,Charlie Charlie,2004
Cool Kids of Death,Butelki z benzyna i kamienie,2002
Feel,A gdy jest już ciemno,2007
Feel,Pokonaj siebie,2007
Doda,Katharsis,2007
Happysad,Zanim pójdę,2004
Coma,Leszek Żukowski,2004
Kombii,Awinion,2007
Strachy na Lachy,Dzień dobry kocham cię,2005
Andrzej Piaseczny,Chodź przytul przebacz,2009
Virgin,Dżaga,2003
Ivan i Delfin,Czarna dziewczyna,2003
O.S.T.R.,Masz to jak w banku,2005
Peja,Głucha noc,2000
Lady Pank,Stacja Warszawa,2004
Enej,Symetryczno-liryczna,2011
Enej,Skrzydlate ręce,2011
Zakopower,Boso,2011
Brodka,Granda,2010
Brodka,W pięciu smakach,2010
Luxtorpeda,Autystyczny,2011
Dawid Podsiadło,Trójkąty i kwadraty,2013
Dawid Podsiadło,Nie ma fal,2018
Dawid Podsiadło,Małomiasteczkowy,2018
Mrozu,Nic do stracenia,2013
Margaret,Thank You Very Much,2013
LemON,Napraw,2013
Organek,Głupi ja,2014
Cleo,My Słowianie,2014
Sarsa,Naucz mnie,2015
Kortez,Stare drzewa,2018
Kortez,Bumerang,2015
Natalia Nykiel,Bądź duży,2015
Krzysztof Zalewski,Miłość miłość,2016
Taco Hemingway,6 zer,2016
Daria Zawiałow,Malinowy chruśniak,2017
Kwiat Jabłoni,Dziś późno pójdę spać,2019
Męskie Granie Orkiestra,Początek,2018
Mata,Patointeligencja,2019
Sanah,Szampan,2020
Sanah,Królowa dram,2020
Dawid Podsiadło,Mori,2022
Ralph Kaminski,Bal u Rafała,2022
Young Leosia,Szklanki,2021
Ochman,River,2022
Mata,Kiss Cam,2022
Blanka,Solo,2023
Sobel,Impreza,2019
